customer_id,test_group,send_email
0002563460,A_send_all,1
0002775051,A_send_all,1
0002529486,A_send_all,1
0002044821,A_send_all,1
0002035929,A_send_all,1
0003308335,A_send_all,1
0003279429,A_send_all,1
0002720664,A_send_all,1
0002610861,A_send_all,1
0002173833,A_send_all,1
0002935150,A_send_all,1
0002680288,A_send_all,1
0003365677,A_send_all,1
0003426695,A_send_all,1
0002337945,A_send_all,1
0002717693,A_send_all,1
0002099245,A_send_all,1
0002456995,A_send_all,1
0002143209,A_send_all,1
0003426652,A_send_all,1
0002232283,A_send_all,1
0002161114,A_send_all,1
0002232796,A_send_all,1
0002654681,A_send_all,1
0002606696,A_send_all,1
0003349722,A_send_all,1
0002429852,A_send_all,1
0002662746,A_send_all,1
0002225917,A_send_all,1
0002753803,A_send_all,1
0002076769,A_send_all,1
0003300846,A_send_all,1
0003438295,A_send_all,1
0002172265,A_send_all,1
0002651521,A_send_all,1
0002114588,A_send_all,1
0002311493,A_send_all,1
0002066052,A_send_all,1
0002050996,A_send_all,1
0002929652,A_send_all,1
0003130189,A_send_all,1
0002143399,A_send_all,1
0002595572,A_send_all,1
0002177547,A_send_all,1
0002115737,A_send_all,1
0002138618,A_send_all,1
0002207949,A_send_all,1
0002720790,A_send_all,1
0002046745,A_send_all,1
0002378429,A_send_all,1
0003352888,A_send_all,1
0002112121,A_send_all,1
0002912034,A_send_all,1
0002182693,A_send_all,1
0002654033,A_send_all,1
0002542093,A_send_all,1
0002548200,A_send_all,1
0002193283,A_send_all,1
0002377039,A_send_all,1
0003284003,A_send_all,1
0002304404,A_send_all,1
0002176253,A_send_all,1
0002086750,A_send_all,1
0002613933,A_send_all,1
0002304837,A_send_all,1
0002407485,A_send_all,1
0003260332,A_send_all,1
0003177389,A_send_all,1
0002205598,A_send_all,1
0002371686,A_send_all,1
0002301669,A_send_all,1
0002258569,A_send_all,1
0002080477,A_send_all,1
0003486723,A_send_all,1
0002076959,A_send_all,1
0002177775,A_send_all,1
0002043487,A_send_all,1
0003315066,A_send_all,1
0002614837,A_send_all,1
0002153685,A_send_all,1
0002228361,A_send_all,1
0003114028,A_send_all,1
0002285399,A_send_all,1
0002433570,A_send_all,1
0002041624,A_send_all,1
0002434426,A_send_all,1
0002954123,A_send_all,1
0002121853,A_send_all,1
0002213815,A_send_all,1
0002427855,A_send_all,1
0002978798,A_send_all,1
0002635617,A_send_all,1
0002167105,A_send_all,1
0002181399,A_send_all,1
0002320241,A_send_all,1
0002163434,A_send_all,1
0002080227,A_send_all,1
0002512674,A_send_all,1
0002362753,A_send_all,1
0002037297,A_send_all,1
0002104015,A_send_all,1
0003321103,A_send_all,1
0003221109,A_send_all,1
0003391354,A_send_all,1
0002111036,A_send_all,1
0002094264,A_send_all,1
0002037520,A_send_all,1
0002164990,A_send_all,1
0002169711,A_send_all,1
0002219353,A_send_all,1
0003293852,A_send_all,1
0002768969,A_send_all,1
0002373678,A_send_all,1
0003440194,A_send_all,1
0002171919,A_send_all,1
0003139490,A_send_all,1
0002064372,A_send_all,1
0002622901,A_send_all,1
0002296901,A_send_all,1
0002042773,A_send_all,1
0003370850,A_send_all,1
0002216816,A_send_all,1
0002461737,A_send_all,1
0002066003,A_send_all,1
0002143936,A_send_all,1
0002304621,A_send_all,1
0002270705,A_send_all,1
0003206751,A_send_all,1
0002201747,A_send_all,1
0003373862,A_send_all,1
0002221826,A_send_all,1
0003465900,A_send_all,1
0002762894,A_send_all,1
0002602417,A_send_all,1
0003159478,A_send_all,1
0002056832,A_send_all,1
0002359472,A_send_all,1
0002124755,A_send_all,1
0002358403,A_send_all,1
0002233183,A_send_all,1
0002247649,A_send_all,1
0002344644,A_send_all,1
0002731766,A_send_all,1
0002347085,A_send_all,1
0002502148,A_send_all,1
0002119765,A_send_all,1
0002932011,A_send_all,1
0002188880,A_send_all,1
0002685995,A_send_all,1
0002128932,A_send_all,1
0003313481,A_send_all,1
0002236192,A_send_all,1
0002842031,A_send_all,1
0002301825,A_send_all,1
0002178408,A_send_all,1
0002172139,A_send_all,1
0002602355,A_send_all,1
0002181403,A_send_all,1
0002229875,A_send_all,1
0003401611,A_send_all,1
0003456399,A_send_all,1
0003453095,A_send_all,1
0002122199,A_send_all,1
0002843004,A_send_all,1
0002406827,A_send_all,1
0002859553,A_send_all,1
0002709462,A_send_all,1
0002456388,A_send_all,1
0002302890,A_send_all,1
0003447323,A_send_all,1
0002269293,A_send_all,1
0002896540,A_send_all,1
0002310552,A_send_all,1
0002718780,A_send_all,1
0003442739,A_send_all,1
0002261212,A_send_all,1
0003464360,A_send_all,1
0002109393,A_send_all,1
0002622787,A_send_all,1
0002339745,A_send_all,1
0002174465,A_send_all,1
0003486850,A_send_all,1
0002040401,A_send_all,1
0002389096,A_send_all,1
0003395856,A_send_all,1
0003495191,A_send_all,1
0002868974,A_send_all,1
0002279190,A_send_all,1
0002584459,A_send_all,1
0002466107,A_send_all,1
0002174973,A_send_all,1
0002135456,A_send_all,1
0003221453,A_send_all,1
0002683682,A_send_all,1
0002319993,A_send_all,1
0002204661,A_send_all,1
0003393967,A_send_all,1
0002049312,A_send_all,1
0002360961,A_send_all,1
0002918555,A_send_all,1
0002223647,A_send_all,1
0003110919,A_send_all,1
0002484351,A_send_all,1
0002438097,A_send_all,1
0002378204,A_send_all,1
0002109502,A_send_all,1
0002043184,A_send_all,1
0003486100,A_send_all,1
0002677181,A_send_all,1
0002433785,A_send_all,1
0002124871,A_send_all,1
0002439463,A_send_all,1
0002190251,A_send_all,1
0003472123,A_send_all,1
0002065682,A_send_all,1
0003316421,A_send_all,1
0002920201,A_send_all,1
0003467955,A_send_all,1
0002336575,A_send_all,1
0002051157,A_send_all,1
0002171542,A_send_all,1
0002929630,A_send_all,1
0002416384,A_send_all,1
0002422753,A_send_all,1
0003483089,A_send_all,1
0002742878,A_send_all,1
0002330779,A_send_all,1
0002862691,A_send_all,1
0003087193,A_send_all,1
0002576431,A_send_all,1
0003286589,A_send_all,1
0003179505,A_send_all,1
0003086254,A_send_all,1
0003319356,A_send_all,1
0002151385,A_send_all,1
0002209314,A_send_all,1
0002768288,A_send_all,1
0002558614,A_send_all,1
0002269137,A_send_all,1
0002213360,A_send_all,1
0002596043,A_send_all,1
0002089939,A_send_all,1
0002525744,A_send_all,1
0002703034,A_send_all,1
0002065895,A_send_all,1
0002924188,A_send_all,1
0002610550,A_send_all,1
