Emailing (geklickt);Emailing (geöffnet);SAP GP Nummer
0;1;18203021
0;0;16736692
0;1;16737496
0;0;16737745
0;0;16738080
0;0;16739204
0;0;17636801
1;1;17637132
0;0;16740623
0;0;16741305
0;1;17640152
0;1;16743092
0;0;17640705
0;1;17641500
0;1;17000586
0;1;16658102
0;1;16658162
0;0;16658189
1;1;16658216
0;1;16658395
0;1;16659489
0;1;16659586
0;1;16659626
0;0;16659822
0;0;17741459
0;0;16662060
0;0;18203220
0;1;18495374
0;0;18495445
0;0;18495801
0;0;18235750
0;1;16452252
0;0;16452518
0;1;16452778
0;1;16672873
0;0;16673233
0;0;16673702
0;0;16475631
0;0;16453078
0;0;16674313
0;1;16475903
0;1;16454422
0;0;16454618
0;1;16454989
0;1;16455127
0;0;16455370
0;1;16675740
0;0;16675974
0;1;16676171
0;1;16478219
0;1;16478332
0;1;16478796
0;0;16247730
0;1;16247973
0;0;16456220
0;0;16456407
0;1;16456528
0;0;16677007
0;0;16677718
0;0;16479923
0;0;16481221
0;1;17489693
1;1;18269558
1;1;16225282
1;1;16225417
0;1;18271100
0;0;16225607
0;0;18271219
0;1;18271732
0;0;17493746
0;1;17495133
0;0;16226356
0;0;18551574
0;1;18551791
1;1;18552380
0;1;18287759
0;1;18290746
0;1;18291637
0;0;18292612
0;1;18155547
0;1;18497834
0;0;18330382
0;1;18330486
0;0;18498525
0;0;16318188
0;1;16318302
0;0;16318455
0;0;18332847
0;0;16318628
1;1;16318717
0;1;16318988
0;0;16446000
0;1;16446021
0;0;16446714
0;0;16446861
0;0;16447015
0;1;16447953
1;1;16447990
0;1;16448679
0;1;16448996
0;1;16449155
0;1;16449589
0;0;16449905
0;0;16450067
0;0;16450543
0;0;16450823
1;1;16451088
0;1;16451441
1;1;16453461
0;0;16453547
0;0;16455303
0;0;16456093
1;1;16456850
1;1;16457028
1;1;16457201
1;1;16457543
0;0;16457870
0;0;16458439
0;0;16458668
0;0;16459058
0;0;16459549
0;1;16460509
1;1;16461040
0;0;16461119
0;1;16463199
1;1;16463212
0;0;18334179
0;0;16399379
0;1;16399393
0;0;16399855
0;1;16399879
0;0;16400112
0;0;16042690
0;1;16400914
0;1;16092041
0;1;16104109
0;0;16104390
1;1;16093953
0;0;16105559
0;1;16105703
0;1;16017932
0;0;16095042
0;1;18140118
0;0;18141296
0;0;18141661
0;0;18142615
0;0;18144340
0;0;18149720
0;1;18152036
0;0;18153340
1;1;16691545
0;0;16691624
0;0;16692391
